A:PPT页,B:第几条,C:引用语义,D:PPT引文完整字段,E:DOI,F:类型,G:对应PDF文件,H:来源链接
3,1,,中华血液学杂志，2024，45(08):727-737,,LITERATURE,Pn-S3_1.pdf,https://rs.yiigle.com/cmaid/1421150
3,2,,"Luzzatto L, et al. Br J Haematol. 2020 Nov;191(4):579-586",10.1111/bjh.16473,LITERATURE,Pn-S3_2.pdf,DOI: 10.1111/bjh.16473 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1111/bjh.16473 | https://europepmc.org/search?query=10.1111/bjh.16473 | https://doi.org/10.1111/bjh.16473
3,3,,"West EE, et al. Nat Rev Nephrol. 2023 Jul;19(7):426-439",10.1038/s41581-023-00697-x,LITERATURE,Pn-S3_3.pdf,DOI: 10.1038/s41581-023-00697-x | https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/s41581-023-00697-x | https://europepmc.org/search?query=10.1038/s41581-023-00697-x | https://doi.org/10.1038/s41581-023-00697-x
4,4,,"Skattum L,et al. Mol Immunol. 2011;48(14):1643-1655",10.1016/j.molimm.2011.06.003,LITERATURE,,DOI: 10.1016/j.molimm.2011.06.003 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.molimm.2011.06.003 | https://europepmc.org/search?query=10.1016/j.molimm.2011.06.003 | https://doi.org/10.1016/j.molimm.2011.06.003
4,5,,"Heesterbeek DAC, et al.  J Innate Immun. 2018;10(5-6):455-464",10.1159/000491859,LITERATURE,Pn-S4_5.pdf,DOI: 10.1159/000491859 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1159/000491859 | https://europepmc.org/search?query=10.1159/000491859 | https://doi.org/10.1159/000491859
4,6,,"Figueroa JE, et al. Clin Microbiol Rev. 1991;4(3):359-395.",10.1128/CMR.4.3.359,LITERATURE,Pn-S4_6.pdf,DOI: 10.1128/CMR.4.3.359 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1128/CMR.4.3.359 | https://europepmc.org/search?query=10.1128/CMR.4.3.359 | https://doi.org/10.1128/CMR.4.3.359
5,1,,"Kirschfink, M,  et al. Komplementsystem und Komplementdefekte. Springer, Berlin, Heidelberg. 2020",,LITERATURE,Pn-S5_1.pdf,
6,1,,Nat Rev Nephrol. 2018 Jan;14(1):26-47.,,LITERATURE,Pn-S6_1.pdf,
7,1,,"Timmermans SAMEG, et al. J Clin Med. 2021 Jul 8;10(14):3034.",10.3390/jcm10143034,LITERATURE,Pn-S7_1.pdf,DOI: 10.3390/jcm10143034 | https://pubmed.ncbi.nlm.nih.gov/?term=10.3390/jcm10143034 | https://europepmc.org/search?query=10.3390/jcm10143034 | https://doi.org/10.3390/jcm10143034
8,1,,"Laurence J, et al. Clin Adv Hematol Oncol. 2016;14(11 suppl 11):2-15",27930620,LITERATURE,Pn-S8_1.pdf,https://doi.org/27930620
8,2,,"Palma L M P, Sridharan M, Sethi S. Kidney International Reports, 2021, 6(1): 11-23.",,LITERATURE,Pn-S8_2.pdf,
9,1,,"George JN, et al. N Engl J Med. 2014 Aug 14;371(7):654-66.",10.1056/NEJMc1410951,LITERATURE,,DOI: 10.1056/NEJMc1410951 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1056/NEJMc1410951 | https://europepmc.org/search?query=10.1056/NEJMc1410951 | https://doi.org/10.1056/NEJMc1410951
9,3,,"戴艳玲, 等.  中华医学杂志. 2018;98(48):3987-3990.",,LITERATURE,,
9,4,,中华医学会血液学分会造血干细胞应用学组. 中华血液学杂志. 2021;42(3):177-184.,,LITERATURE,,
9,5,,"非典型溶血尿毒综合征多学科共识协作组. 中华内科杂志,2025,64(5)：396-411.",,LITERATURE,,
11,1,,"任宏, 等. 中国小儿急救医学,2020,27 (08): 577-581.",,LITERATURE,,
11,2,,"Azoulay, Elie, et al. Chest 152.2 (2017): 424-434.",10.1016/j.chest.2017.03.055,LITERATURE,Pn-S11_2.pdf,DOI: 10.1016/j.chest.2017.03.055 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.chest.2017.03.055 | https://europepmc.org/search?query=10.1016/j.chest.2017.03.055 | https://doi.org/10.1016/j.chest.2017.03.055
11,3,,Brodsky RA. Paroxysmal nocturnal hemoglobinuria. Blood. 2014;124(18):2804-2811.,10.1182/blood-2014-02-522128,LITERATURE,Pn-S11_3.pdf,DOI: 10.1182/blood-2014-02-522128 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1182/blood-2014-02-522128 | https://europepmc.org/search?query=10.1182/blood-2014-02-522128 | https://doi.org/10.1182/blood-2014-02-522128
11,4,,浙江省医学会血液学分会.浙江医学. 2025;47(6).,,LITERATURE,,
11,5,,中华医学会血液学分会.自身免疫性溶血性贫血诊疗指南.,,LITERATURE,,
